|xpos	|ypos	|ra	|dec	|zpmag	|zprms	|flux	|sigflux	|snr	|chi	|sharp	|fluxap	|sigfluxap	|nbadap	|MJD	|HJD	|FWHMSEX                   |
|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|r	|i	|r	|r	|r                         |
|pix	|pix	|deg	|deg	|mag	|mag	|DN	|DN	|	|	|	|DN	|DN	|	|days	|days	|arcsec                    |
1098.21	993.18	5.08723	59.299827	27.07	0.053	-85.1009	22.4278	-3.79	0.888	0.863	-140.602428	76.499694	0	56958.34337	2456958.847	2.25
1084.83	1000.21	5.08723	59.299827	26.776	0.088	-237.833	117.553	-2.02	0.775	2.426	-272.3016926	200.166235	0	56965.194	2456965.698	4.55
1081.24	1112.02	5.08723	59.299827	26.507	1.06	489.555	192.888	2.54	1.631	2.677	224.0836419	380.5285568	0	57255.32787	2457255.829	2.65
1084.64	1116.31	5.08723	59.299827	26.462	1.248	559.567	105.756	5.29	1.406	0.442	-11.5703735	323.2339725	0	57255.37765	2457255.879	2.55
1082.25	1021.1	5.08723	59.299827	26.985	1.517	-175.382	31.9135	-5.5	0.355	0.119	-325.3618927	103.5627369	0	57256.3263	2457256.828	2.55
1080.8	1019.55	5.08723	59.299827	27.05	1.076	-84.7456	45.1307	-1.88	0.504	-2.169	-168.780304	114.191444	0	57257.31646	2457257.818	2.35
1085.37	1022.43	5.08723	59.299827	26.511	1.103	465.681	128.995	3.61	1.603	0.513	338.1807709	309.6031213	0	57257.35243	2457257.854	2.65
1080.88	1018.1	5.08723	59.299827	26.718	1.339	519.081	110.723	4.69	1.313	0.474	-641.9789658	1216.897017	0	57258.31311	2457258.815	2.55
1091.59	1048.82	5.08723	59.299827	27.066	0.047	-53.5407	30.9613	-1.73	0.948	1.126	-165.9462674	94.4252436	0	57270.40806	2457270.91	2.55
1093.76	1050.32	5.08723	59.299827	28.14	0.065	604.671	151.161	4	0.921	0.138	-704.8664286	452.2297471	0	57270.43794	2457270.94	3.15
1091.34	1049.6	5.08723	59.299827	27.066	0.043	-115.491	28.5847	-4.04	0.836	0.994	-158.3673008	100.9439514	0	57271.40752	2457271.91	2.55
1094.11	1051.99	5.08723	59.299827	27.067	0.047	-199.232	26.0208	-7.66	1.008	0.492	-243.5436738	81.4348325	0	57271.4372	2457271.939	2.35
1088.86	1043.39	5.08723	59.299827	27.07	0.046	-150.275	25.659	-5.86	1.157	0.55	-251.6164742	72.8865307	0	57286.28075	2457286.784	2.15
1088.46	1045.2	5.08723	59.299827	27.068	0.039	-107.661	14.9887	-7.18	0.711	0.47	-63.9956762	60.1055856	0	57286.3111	2457286.814	2.05
1151.98	1294.48	5.08723	59.299827	27.067	0.049	-164.058	63.7771	-2.57	1.311	2.513	-162.7462668	118.0451551	0	57655.44814	2457655.951	3.35
1151.25	1300.66	5.08723	59.299827	27.067	0.042	-31.0545	29.2775	-1.06	0.898	0.559	83.2274283	105.7304117	0	57657.36159	2457657.865	2.95
1153.8	1293.66	5.08723	59.299827	27.067	0.041	-23.8155	20.794	-1.15	0.946	2.695	-157.9040582	88.1984434	0	57660.37301	2457660.876	2.45
1153.19	1292.93	5.08723	59.299827	27.068	0.042	-138.182	23.2972	-5.93	0.924	-0.123	-151.2345678	91.5108129	0	57666.37122	2457666.875	2.65
1149.92	1293.65	5.08723	59.299827	27.058	0.192	99999999	-99.999	inf	0	0	1365.407065	1504.728591	0	57669.33303	2457669.836	3.05
1139.08	1279.59	5.08723	59.299827	27.067	0.061	-79.0879	47.156	-1.68	1.102	2.167	-421.7096872	145.7722182	0	57673.16652	2457673.67	2.55
1145.22	1286.03	5.08723	59.299827	27.066	0.053	-49.4567	57.3771	-0.86	1.109	3.526	-147.2616389	142.2588336	0	57681.22238	2457681.726	3.05
1129.74	1277.79	5.08723	59.299827	27.062	0.165	-131.924	169.291	-0.78	0.925	1.302	-533.2345803	461.8789212	0	57762.07668	2457762.578	3.05
1130.83	1275.89	5.08723	59.299827	27.065	0.096	-57.7881	103.618	-0.56	1.03	4.669	-437.8834173	242.7741607	0	57763.10123	2457763.602	3.15
